"Toxigenic_status","id_number","Strain_number","spot","type_of_extraction"
"orec",838,"83354667","A10","fae"
"orec",839,"83354667","A11","fae"
"orec",840,"83354667","A12","fae"
"orec",841,"83933990","A4","fae"
"orec",842,"83933990","A5","fae"
"orec",843,"83933990","A6","fae"
"orec",844,"87302721","E7","fae"
"orec",845,"87302721","E8","fae"
"orec",846,"87302721","E9","fae"
"orec",847,"89182724","F4","fae"
"orec",848,"89182724","F5","fae"
"orec",849,"89182724","F6","fae"
"orec",850,"89542714","E1","fae"
"orec",851,"89542714","E2","fae"
"orec",852,"89542714","E3","fae"
"orec",853,"92932693","A10","fae"
"orec",854,"92932693","A11","fae"
"orec",855,"92932693","A12","fae"
"orec",856,"93613773","A1","fae"
"orec",857,"93613773","A2","fae"
"orec",858,"93613773","A3","fae"
"orec",859,"94073744","F4","fae"
"orec",860,"94073744","F5","fae"
"orec",861,"94073744","F6","fae"
"orec",862,"94604692","B10","fae"
"orec",863,"94604692","B11","fae"
"orec",864,"94604692","B12","fae"
"orec",865,"94793615","A4","fae"
"orec",866,"94793615","A5","fae"
"orec",867,"94793615","A6","fae"
"orec",868,"96263658","B4","fae"
"orec",869,"96263658","B5","fae"
"orec",870,"96263658","B6","fae"
"orec",871,"96642681","A1","fae"
"orec",872,"96642681","A2","fae"
"orec",873,"96642681","A3","fae"
"orec",874,"98204668","B1","fae"
"orec",875,"98204668","B2","fae"
"orec",876,"98204668","B3","fae"
"orec",877,"99954121","F1","fae"
"orec",878,"99954121","F2","fae"
"orec",879,"99954121","F3","fae"
"orec",880,"TY2482","A1","fae"
"orec",881,"TY2482","A2","fae"
"orec",882,"TY2482","A3","fae"
"ref",883,"ty2482r1","A1","fae"
"ref",884,"ty2482r1","A2","fae"
"ref",885,"ty2482r1","A3","fae"
"ref",886,"ty2482r2","H4","fae"
"ref",887,"ty2482r2","H5","fae"
"ref",888,"ty2482r2","H6","fae"
"ref",889,"ty2482r3","A1","fae"
"ref",890,"ty2482r3","A2","fae"
"ref",891,"ty2482r3","A3","fae"
